Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
99.0,99.0,99.0,0.32,0.2041,0.5893,0.3692,0.4691,0.3333,0.3333,0.9,"950
90%",NN,0.3984962406015037,0.3740572264721925
100.0,100.0,,0.25,0.1702,0.4301,0.2667,0.3636,0.0,0.2192,0.1,"105
10%",NN,0.2857142857142857,0.2428287721905683
101.0,101.0,,0.2641,0.2041,0.2,0.2105,0.2951,0.0,0.2857,0.2,"211
20%",NN,0.2406015037593984,0.2085078778237374
102.0,102.0,,0.2333,0.1395,0.52,0.28,0.4792,0.2759,0.24,0.3,"316
30%",NN,0.3383458646616541,0.3096995646694925
103.0,103.0,,0.2456,0.2083,0.5454,0.2927,0.4078,0.2951,0.2796,0.4,"422
40%",NN,0.3421052631578947,0.3249290986689087
104.0,104.0,,0.2295,0.1923,0.54,0.4179,0.4842,0.2899,0.3182,0.5,"528
50%",NN,0.3759398496240601,0.3531391076787962
105.0,105.0,,0.2449,0.2083,0.5745,0.3273,0.5102,0.2424,0.3115,0.6,"633
60%",NN,0.3721804511278195,0.345582262684154
106.0,106.0,,0.3125,0.0889,0.5895,0.3902,0.5412,0.2105,0.2823,0.7,"739
70%",NN,0.3721804511278195,0.3450231718703742
107.0,107.0,,0.3333,0.2041,0.566,0.32,0.5432,0.2727,0.2812,0.8,"844
80%",NN,0.3834586466165413,0.3600914073008476
108.0,108.0,,0.274,0.2083,0.6061,0.4058,0.4359,0.2564,0.2988,1.0,"1056
100%",NN,0.3721804511278195,0.3550459872290395
109.0,109.0,,0.1277,0.1633,0.4575,0.0571,0.2973,0.2034,0.2435,0.1,"105
10%",NN,0.2781954887218045,0.2213927808968584
110.0,110.0,,0.2353,0.2,0.5333,0.4839,0.5116,0.2785,0.268,0.2,"211
20%",NN,0.3684210526315789,0.3586640822101002
111.0,111.0,,0.2424,0.2,0.5155,0.3333,0.4197,0.2667,0.3036,0.3,"316
30%",NN,0.3421052631578947,0.3258875249915996
112.0,112.0,,0.1842,0.0513,0.475,0.303,0.4,0.1818,0.3208,0.4,"422
40%",NN,0.3045112781954887,0.2737279684896368
